id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time
0,1,3.57791,0.10357,0.6,-0.745076,0.463712,0,0.0388622,1.08241,0,0.00880827,1,1,2.74982,2.5,0.6,-0.181979,0,0,1.08004,0,0,0.00742193,2,1,1,3.52653,0.6,0,-0.957042,0,0,-0.419259,0,0.00742965,3,1,-0.924648,3.62653,0.6,0.280279,-0.543052,0,0.420839,0.529051,0,0.00709354,4,1,-3.27947,2.32575,0.6,-0.39379,-0.357085,0,0.228643,0.100493,0,0.00685581,5,1,-3.52653,0,0.6,0.957042,0,0,0.419259,0,0,0.00627365,6,1,-3,-2.02653,0.6,0,0.957042,0,0,0.419259,0,0.00862347,7,1,-1,-3.52653,0.6,0,0.957042,0,0,0.419259,0,0.0114843,8,1,0.736908,-3.72053,0.6,-0.786045,0.39379,0,-0.954419,-0.228643,0,0.00921499,9,1,2.87237,-2.77421,0.6,-0.556147,-0.367564,0,-1.32442,0.366092,0,0.0076062
0,1.1,3.50393,0.154923,0.6,-0.731469,0.559229,0,0.226542,0.834738,0,0.00880827,1,1.1,2.73679,2.49994,0.6,-0.0815414,-0.00162832,0,0.900477,-0.0308305,0,0.00742193,2,1.1,1,3.42915,0.6,0,-0.986437,0,0,-0.173494,0,0.00742965,3,1.1,-0.894714,3.57496,0.6,0.316474,-0.487939,0,0.30455,0.551343,0,0.00709354,4,1.1,-3.31758,2.29076,0.6,-0.367192,-0.341203,0,0.299618,0.188217,0,0.00685581,5,1.1,-3.42915,0,0.6,0.986437,0,0,0.173494,0,0,0.00627365,6,1.1,-3,-1.92915,0.6,0,0.986437,0,0,0.173509,0,0.00862347,7,1.1,-1,-3.42915,0.6,0,0.986437,0,0,0.173494,0,0.0114843,8,1.1,0.653901,-3.68242,0.6,-0.870414,0.367192,0,-0.733323,-0.299618,0,0.00921499,9,1.1,2.81038,-2.809,0.6,-0.68073,-0.327171,0,-1.15956,0.434145,0,0.0076062
0,1.2,3.43218,0.214656,0.6,-0.701058,0.631931,0,0.375509,0.625246,0,0.00816757,1,1.2,2.73265,2.49959,0.6,-0.00672936,-0.00584126,0,0.575304,-0.051856,0,0.00724517,2,1.2,1,3.33001,0.6,0,-0.992703,0,0,0.0435114,0,0.00851461,3,1.2,-0.861726,3.52881,0.6,0.341487,-0.436634,0,0.197232,0.458241,0,0.00680558,4,1.2,-3.35271,2.25753,0.6,-0.334573,-0.324547,0,0.349402,0.122905,0,0.00678805,5,1.2,-3.33001,0,0.6,0.992703,0,0,-0.0435114,0,0,0.00692298,6,1.2,-3,-1.83001,0.6,0,0.9927,0,0,-0.0434518,0,0.00963933,7,1.2,-1,-3.33001,0.6,0,0.992703,0,0,-0.0435114,0,0.0121042,8,1.2,0.563557,-3.64729,0.6,-0.932842,0.334573,0,-0.516206,-0.349402,0,0.0103441,9,1.2,2.73684,-2.83949,0.6,-0.786811,-0.282127,0,-0.957131,0.460267,0,0.00721511
0,1.3,3.36415,0.280451,0.6,-0.657503,0.679171,0,0.48995,0.336526,0,0.00816757,1,1.3,2.73402,2.49873,0.6,0.0259113,-0.0113484,0,0.0795871,-0.0575036,0,0.00724517,2,1.3,0.999295,3.23132,0.6,-0.0205562,-0.977852,0,-0.387527,0.247642,0,0.00851461,3,1.3,-0.826782,3.48715,0.6,0.355572,-0.399642,0,0.0870749,0.27281,0,0.00680558,4,1.3,-3.38437,2.22531,0.6,-0.298332,-0.323816,0,0.373036,-0.111938,0,0.00678805,5,1.3,-3.23132,0,0.6,0.977852,0,0,-0.247642,0,0,0.00692298,6,1.3,-3,-1.73132,0.6,0,0.977853,0,0,-0.24759,0,0.00963933,7,1.3,-1,-3.23132,0.6,0,0.977852,0,0,-0.247642,0,0.0121042,8,1.3,0.468103,-3.61563,0.6,-0.972219,0.298194,0,-0.275224,-0.375628,0,0.0103441,9,1.3,2.65375,-2.86541,0.6,-0.871299,-0.236443,0,-0.733152,0.448883,0,0.00721511
0,1.4,3.301,0.34969,0.6,-0.604153,0.702357,0,0.571847,0.141442,0,0.00865133,1,1.4,2.73621,2.49731,0.6,0.0100017,-0.0172019,0,-0.391841,-0.058651,0,0.00718417,2,1.4,0.994826,3.13507,0.6,-0.0730604,-0.944322,0,-0.641733,0.417233,0,0.00667307,3,1.4,-0.790953,3.44819,0.6,0.359412,-0.383407,0,-0.00783801,0.0474453,0,0.0068686,4,1.4,-3.41232,2.19195,0.6,-0.260419,-0.34731,0,0.383258,-0.358224,0,0.00615233,5,1.4,-3.13507,0,0.6,0.944322,0,0,-0.417233,0,0,0.00601865,6,1.4,-3,-1.63507,0.6,0,0.944328,0,0,-0.417292,0,0.00924956,7,1.4,-1,-3.13507,0.6,0,0.944322,0,0,-0.417233,0,0.00705761,8,1.4,0.369877,-3.58772,0.6,-0.988665,0.259936,0,-0.0575781,-0.387192,0,0.0105374,9,1.4,2.56332,-2.88686,0.6,-0.933599,-0.193149,0,-0.51415,0.413537,0,0.00724208
0,1.5,3.24354,0.420348,0.6,-0.544369,0.708319,0,0.61968,-0.00740409,0,0.00865133,1,1.5,2.73443,2.49531,0.6,-0.0532836,-0.0227254,0,-0.853211,-0.0516325,0,0.00718417,2,1.5,0.984304,3.04269,0.6,-0.137314,-0.903387,0,-0.637829,0.404313,0,0.00667307,3,1.5,-0.755199,3.40962,0.6,0.354259,-0.39234,0,-0.0925064,-0.219062,0,0.0068686,4,1.5,-3.43645,2.15495,0.6,-0.222363,-0.39715,0,0.376463,-0.626296,0,0.00615233,5,1.5,-3.04302,0,0.6,0.894303,0,0,-0.553787,0,0,0.00601865,6,1.5,-3,-1.54243,0.6,-4.88013e-05,0.910925,0,-0.000938773,-0.261649,0,0.00924956,7,1.5,-1,-3.04259,0.6,0,0.90625,0,0,-0.351682,0,0.00705761,8,1.5,0.271091,-3.56365,0.6,-0.983521,0.22141,0,0.154998,-0.381723,0,0.0105374,9,1.5,2.4678,-2.90419,0.6,-0.972773,-0.154415,0,-0.273243,0.359133,0,0.00724208
0,1.6,3.19225,0.490997,0.6,-0.481004,0.703522,0,0.643849,-0.0768161,0,0.00847007,1,1.6,2.72422,2.49279,0.6,-0.156516,-0.0274956,0,-1.1909,-0.0435114,0,0.00642802,2,1.6,0.967429,2.95437,0.6,-0.199604,-0.862938,0,-0.603259,0.406981,0,0.00607306,3,1.6,-0.720357,3.3689,0.6,0.341436,-0.425649,0,-0.161469,-0.438452,0,0.0058609,4,1.6,-3.45683,2.11175,0.6,-0.185388,-0.470072,0,0.3618,-0.819445,0,0.00808027,5,1.6,-2.95639,0,0.6,0.838596,0,0,-0.539541,0,0,0.00565516,6,1.6,-3.00001,-1.45247,0.6,-0.000178814,0.889954,0,-0.00178814,-0.167191,0,0.0104877,7,1.6,-1,-2.95367,0.6,0,0.872606,0,0,-0.327468,0,0.00816647,8,1.6,0.173828,-3.5434,0.6,-0.958733,0.183892,0,0.335518,-0.367403,0,0.0110113,9,1.6,2.36953,-2.91794,0.6,-0.989026,-0.121629,0,-0.0557899,0.29552,0,0.00709167
0,1.7,3.14736,0.561012,0.6,-0.416844,0.697268,0,0.636995,-0.0472535,0,0.00847007,1,1.7,2.70229,2.48983,0.6,-0.284823,-0.0316631,0,-1.35456,-0.0392944,0,0.00642802,2,1.7,0.944601,2.87021,0.6,-0.255441,-0.819479,0,-0.512302,0.460744,0,0.00607306,3,1.7,-0.687125,3.32389,0.6,0.322248,-0.477067,0,-0.21958,-0.585333,0,0.0058609,4,1.7,-3.47318,2.06061,0.6,-0.138133,-0.552823,0,0.569522,-0.825837,0,0.00808027,5,1.7,-2.87503,0,0.6,0.790867,0,0,-0.410303,0,0,0.00565516,6,1.7,-3.00004,-1.36424,0.6,-0.000309199,0.875208,0,-0.000864267,-0.134327,0,0.0104877,7,1.7,-1,-2.86807,0.6,0,0.839042,0,0,-0.347987,0,0.00816647,8,1.7,0.0793367,-3.5268,0.6,-0.933747,0.148727,0,0.176061,-0.335634,0,0.0110113,9,1.7,2.27071,-2.92874,0.6,-0.983712,-0.0955436,0,0.156611,0.226691,0,0.00709167
0,1.8,3.10883,0.630557,0.6,-0.354046,0.694169,0,0.616908,-0.0147521,0,0.00876845,1,1.8,2.66691,2.48647,0.6,-0.423568,-0.0352681,0,-1.40262,-0.0321865,0,0.00619865,2,1.8,0.916655,2.79064,0.6,-0.301866,-0.771081,0,-0.415415,0.505447,0,0.00584303,3,1.8,-0.656075,3.27305,0.6,0.29804,-0.541538,0,-0.262111,-0.697017,0,0.00556329,4,1.8,-3.4839,2.00126,0.6,-0.0740945,-0.63343,0,0.698924,-0.77796,0,0.00743894,5,1.8,-2.79775,0,0.6,0.757003,0,0,-0.267148,0,0,0.00607059,6,1.8,-3.00007,-1.27738,0.6,-0.000357628,0.861871,0,-0.000238419,-0.137985,0,0.0118448,7,1.8,-1,-2.78597,0.6,0,0.802273,0,0,-0.39041,0,0.00594057,8,1.8,-0.0133384,-3.51355,0.6,-0.921298,0.116813,0,0.0832903,-0.302434,0,0.0109243,9,1.8,2.17344,-2.93727,0.6,-0.958771,-0.0761449,0,0.336885,0.162482,0,0.00739974
0,1.9,3.07645,0.699986,0.6,-0.294151,0.695146,0,0.57973,0.0291727,0,0.00876845,1,1.9,2.61779,2.48293,0.6,-0.556335,-0.0343405,0,-1.24747,0.0450015,0,0.00619865,2,1.9,0.884623,2.71671,0.6,-0.336515,-0.701836,0,-0.280026,0.84798,0,0.00584303,3,1.9,-0.627628,3.2155,0.6,0.270473,-0.608617,0,-0.287276,-0.639901,0,0.00556329,4,1.9,-3.48778,1.93427,0.6,-0.00360124,-0.703817,0,0.704929,-0.627942,0,0.00743894,5,1.9,-2.72328,0,0.6,0.734752,0,0,-0.13113,0,0,0.00607059,6,1.9,-2.99947,-1.19204,0.6,0.0182971,0.8434,0,0.351638,-0.230633,0,0.0118448,7,1.9,-1,-2.7085,0.6,0,0.740037,0,0,-0.818893,0,0.00594057,8,1.9,-0.104992,-3.50273,0.6,-0.911127,0.105472,0,0.122554,0.0569075,0,0.0109243,9,1.9,2.07895,-2.94416,0.6,-0.933661,-0.0623588,0,0.177145,0.115022,0,0.00739974
